,symbol,price_percent_change,price,price_change
0,XHLD,166.58,1.56,0.97
1,LSE,59.07,12.36,4.59
2,BOWN,47.75,6.39,2.07
3,DGNX,44.3,103.99,31.92
4,ALBT,39.71,6.72,1.91
5,HURA,36.43,3.82,1.02
6,EXOD,34.91,40.83,10.57
7,OSRH,34.54,1.79,0.46
8,ADTX,33.07,9.98,2.48
9,AGH,32.76,0.81,0.2
10,ATER,31.75,2.78,0.67
11,FBRX,30.0,7.15,1.65
12,BETRW,27.6,0.0934,0.02
13,CSCI,25.15,4.18,0.84
14,SISI,22.19,1.0,0.18
15,CLIK,21.34,1.99,0.35
16,MNTS,20.49,2.205,0.37
17,BGSF,20.0,4.26,0.71
18,CDTG,20.0,1.92,0.32
19,MGRX,19.89,4.34,0.72
