,symbol,price,price_change,price_percent_change
0,CVNA,189.9,13.82,7.85
1,BE,25.83,1.52,6.27
2,FIVE,80.13,4.54,6.01
3,ACVA,15.42,0.81,5.54
4,TBBB,25.52,1.32,5.45
5,CAVA,85.38,4.38,5.41
6,JBSAY,14.61,0.72,5.18
7,DRI,197.59,9.44,5.02
8,JBL,146.37,6.89,4.94
9,CLS,96.01,4.09,4.45
10,TNXP,17.24,0.77,4.69
11,BOLSY,6.64,0.25,3.91
12,PKX,55.32,2.0,3.75
13,ALVO,11.76,0.42,3.71
14,UEC,5.66,0.15,2.71
15,IMVT,19.52,0.64,3.39
16,ALL,211.9,7.04,3.43
17,CALX,36.05,1.22,3.5
18,SNAP,9.33,0.29,3.26
19,RKT,14.57,0.47,3.33
20,PPC,52.1,1.63,3.23
21,SAM,226.34,7.18,3.27
22,LRN,124.73,3.36,2.77
23,COMP,9.12,0.24,2.7
24,AAP,37.99,1.08,2.91
