,symbol,price_percent_change,price,price_change
0,IBO,333.96,2.3,1.77
1,PSTV,166.48,1.362,0.85
2,SAG,69.63,1.145,0.47
3,OPTN,52.33,9.14,3.14
4,PRA,48.2,23.03,7.49
5,NOVA,45.11,0.537,0.17
6,RGC,43.19,44.06,13.29
7,NAOV,36.53,4.451,1.19
8,OM,35.19,11.19,2.91
9,LVLU,35.02,0.581,0.15
10,AEVA,34.73,4.19,1.08
11,RENT,34.07,6.48,1.65
12,MMA,33.8,0.95,0.24
13,ULY,31.68,4.859,1.17
14,AGH,31.66,1.06,0.25
15,APLM,30.53,10.39,2.43
16,NIPG,28.99,2.67,0.6
17,WINT,28.4,2.17,0.48
18,ZTEK,26.4,1.16,0.24
19,CRVO,25.61,11.77,2.4
