symbol,price,price_change,price_percent_change
SLNO,66.1,17.14,34.99
WOOF,2.9,0.46,18.69
VVPR,4.73,0.55,13.13
MREO,2.65,0.28,11.81
JYD,6.76,0.58,9.39
TNON,2.63,0.21,8.68
BILI,19.9,0.47,2.39
HTZ,3.53,0.08,2.32
DLTR,70.76,1.55,2.24
LX,11.0,0.16,1.48
AUR,7.2,0.09,1.19
HUMA,2.02,0.02,1.0
PEP,149.58,0.94,0.63
KHC,29.86,0.17,0.57
GILD,109.74,0.47,0.43
KDP,34.19,0.13,0.38
JD,41.93,0.15,0.36
MDLZ,66.56,0.23,0.35
RIVN,12.14,0.04,0.33
IBRX,2.79,0.01,0.31
WBA,11.13,0.03,0.27
GOGL,8.02,0.02,0.25
TSLA,272.48,0.42,0.15
APA,21.13,0.03,0.14
GRAB,4.78,0.01,0.1
HBAN,15.27,0.01,0.07
MSFT,390.2,0.23,0.06
MRNA,31.49,0.01,0.03
BKR,44.02,0.0,0.0
IOVA,3.44,0.0,0.0
WBD,11.03,0.0,0.0
PSEC,4.18,0.0,0.0
SBUX,97.92,-0.05,-0.05
CPNG,23.56,-0.02,-0.08
AAPL,221.34,-0.19,-0.09
CSCO,61.74,-0.07,-0.11
CMCSA,37.32,-0.05,-0.13
TTD,58.68,-0.12,-0.2
EXC,43.93,-0.09,-0.2
LCID,2.35,-0.01,-0.21
CKPT,4.05,-0.01,-0.25
AMZN,200.61,-0.52,-0.26
CSX,29.82,-0.08,-0.27
GOOGL,164.61,-0.45,-0.27
GOOG,166.68,-0.46,-0.28
LRCX,75.9,-0.24,-0.32
PTEN,8.54,-0.03,-0.35
NU,10.88,-0.04,-0.37
PDD,122.01,-0.46,-0.38
AGNC,9.72,-0.04,-0.41
RUM,7.79,-0.04,-0.57
QCOM,157.48,-0.91,-0.57
AVT,48.15,-0.36,-0.74
INTC,23.22,-0.2,-0.83
ARM,113.94,-0.98,-0.86
MRVL,66.14,-0.62,-0.93
AVGO,177.6,-1.68,-0.93
DKNG,37.32,-0.36,-0.96
NFE,10.96,-0.11,-0.98
WDC,42.2,-0.42,-0.99
PANW,183.09,-1.87,-1.01
AAL,11.31,-0.13,-1.14
PYPL,69.14,-0.83,-1.19
LYFT,12.12,-0.15,-1.22
QUBT,7.91,-0.1,-1.25
ERIC,7.99,-0.1,-1.28
HOOD,44.14,-0.58,-1.31
FLNC,5.22,-0.07,-1.32
PLTR,91.05,-1.23,-1.33
ASTS,26.9,-0.39,-1.43
MU,90.8,-1.32,-1.44
ACHR,8.01,-0.13,-1.54
META,601.12,-9.86,-1.61
RGTI,9.03,-0.15,-1.64
TEM,52.3,-0.94,-1.77
BTBT,2.21,-0.04,-1.78
SMCI,36.32,-0.72,-1.96
RKLB,19.05,-0.39,-2.01
MSTR,322.12,-7.2,-2.18
RXRX,6.04,-0.14,-2.19
CELH,34.14,-0.77,-2.19
LI,26.08,-0.59,-2.23
CIFR,2.62,-0.06,-2.24
ABNB,125.75,-2.89,-2.25
RIOT,7.72,-0.18,-2.28
MARA,13.47,-0.32,-2.32
APP,320.0,-7.62,-2.33
NVDA,111.05,-2.71,-2.38
CLSK,7.92,-0.2,-2.46
APLD,6.37,-0.16,-2.47
SOUN,9.09,-0.29,-3.05
LUNR,8.52,-0.27,-3.06
WULF,2.82,-0.09,-3.09
IREN,6.5,-0.21,-3.13
RR,2.24,-0.08,-3.45
SOFI,12.61,-0.46,-3.52
CRDO,43.34,-1.61,-3.59
AMD,106.01,-4.18,-3.79
NBIS,23.36,-1.35,-5.46
CORZ,7.2,-0.43,-5.7
