symbol,price,price_change,price_percent_change
ICCT,4.78,2.71,130.92
TIVC,4.65,1.4,43.07
CGTL,5.39,1.24,29.88
TCRT,3.51,0.71,25.36
OPOF,36.31,6.4,21.4
CLIK,2.69,0.36,15.45
GT,10.46,1.33,14.64
SKBL,11.61,1.25,12.07
FLX,2.5,0.26,11.36
LW,59.64,5.5,10.15
LZMH,7.85,0.69,9.63
MDCX,3.71,0.31,9.12
VTMX,24.78,1.98,8.68
MOH,356.38,27.89,8.49
NYXH,7.05,0.55,8.46
JUNE,11.65,0.84,7.77
BDMD,5.92,0.42,7.64
CNL,9.67,0.59,6.5
RIME,2.26,0.14,6.37
POET,4.1,0.24,6.22
RGC,24.99,1.46,6.2
ADTX,5.3,0.3,6.0
NGG,69.45,3.67,5.58
STNE,11.32,0.58,5.45
CNC,63.92,3.19,5.25
ALHC,18.76,0.91,5.1
UL,62.82,2.96,4.94
DG,94.6,4.41,4.88
TEF,4.9,0.23,4.85
NMAX,55.0,2.48,4.72
AWK,153.0,6.81,4.66
FMS,25.88,1.15,4.65
PAGS,8.36,0.37,4.63
KR,70.4,3.13,4.65
SBS,18.73,0.81,4.52
UNH,545.23,22.03,4.21
CCEP,91.06,3.65,4.18
MSEX,66.53,2.66,4.16
ZYBT,5.16,0.2,4.03
AMX,15.04,0.58,4.01
ELV,446.46,17.13,3.99
TARA,4.46,0.17,3.96
SBAC,228.02,8.68,3.96
BTI,41.84,1.58,3.94
OCG,3.53,0.13,3.82
WTRG,40.9,1.5,3.82
PM,162.04,5.87,3.76
FTCI,3.06,0.11,3.73
FSLR,134.65,4.83,3.72
AZN,74.89,2.67,3.7
FMX,103.61,3.68,3.68
AMT,225.88,7.98,3.66
OHI,39.26,1.38,3.63
KOF,98.47,3.41,3.59
UPC,2.9,0.1,3.57
KT,17.9,0.59,3.41
VIV,9.3,0.3,3.39
ABEV,2.44,0.08,3.39
CSAN,5.5,0.18,3.38
ELP,7.66,0.25,3.37
EBR,7.36,0.24,3.37
CM,59.83,1.94,3.36
GO,14.18,0.46,3.35
HLN,10.5,0.34,3.35
MCK,716.73,23.2,3.35
TIMB,16.49,0.53,3.32
MKTX,217.61,6.78,3.22
BEKE,21.08,0.66,3.21
CL,96.48,2.94,3.14
AWR,80.24,2.44,3.13
GSK,38.81,1.17,3.12
FTS,47.6,1.44,3.12
BBD,2.28,0.07,3.08
ITUB,5.7,0.17,3.08
ELS,68.71,2.05,3.08
TU,14.42,0.43,3.07
CWT,49.99,1.49,3.07
VOD,9.4,0.28,3.07
JNJ,160.08,4.72,3.04
CME,270.4,7.86,2.99
BJ,118.38,3.41,2.97
TBBB,28.04,0.79,2.9
HUM,273.49,7.69,2.89
CHD,111.45,3.13,2.89
GIS,60.88,1.69,2.86
PPC,50.4,1.4,2.85
JJSF,134.57,3.71,2.84
ACI,23.06,0.64,2.83
CI,341.3,9.38,2.83
DUK,123.74,3.35,2.79
COR,287.24,7.72,2.76
ED,112.54,2.96,2.7
KO,73.21,1.88,2.64
TW,152.33,3.84,2.59
SJW,55.25,1.38,2.56
EXC,47.15,1.18,2.57
MO,58.56,1.45,2.53
WING,241.86,5.9,2.5
T,28.84,0.7,2.48
ASTH,30.76,0.74,2.47
