symbol,price,price_change,price_percent_change
CERT,14.1,1.19,9.33
SMMT,23.85,0.61,2.65
GGAL,62.0,8.13,15.09
CRSP,39.82,0.52,1.32
BMA,88.62,9.77,12.38
GLNG,37.88,0.61,1.64
PCVX,32.02,0.82,2.61
BBAR,19.6,1.81,11.33
MSTR,308.85,8.87,2.96
AU,41.72,-1.07,2.5
MP,24.78,2.1,9.26
MPWR,557.08,23.95,4.49
RNECY,5.9,0.52,9.67
HCM,14.43,0.7,5.14
TGS,25.39,2.1,9.02
YPF,34.5,4.47,14.94
DELL,88.41,6.48,7.91
MRUS,42.57,0.6,1.43
VONOY,15.35,1.22,8.63
IMPUY,6.06,0.48,8.6
CRNX,29.76,0.65,2.23
ANGPY,6.01,0.46,8.29
HCC,48.08,0.71,1.5
VIST,42.85,4.7,12.33
NEM,53.66,-1.31,2.38
