,symbol,price,price_change,price_percent_change
0,MLGO,17.18,3.19,22.8
1,DJTWW,14.25,1.12,8.52
2,DJT,22.75,1.74,8.31
3,EPAC,46.53,3.15,7.26
4,SAND,7.33,0.48,6.95
5,EGO,16.71,1.0,6.37
6,MBLY,16.22,0.96,6.3
7,FMCC,6.31,0.36,6.05
8,FNMA,7.53,0.43,6.06
9,TKC,6.21,0.32,5.43
10,IP,55.71,2.88,5.45
11,BAYRY,6.34,0.29,4.8
12,SBS,17.99,0.77,4.47
13,ZIJMY,47.53,1.93,4.23
14,CVNA,222.2,8.57,4.01
15,INTR,5.84,0.23,4.1
16,CAAP,19.15,0.75,4.08
17,EQX,7.05,0.28,4.14
18,ETSY,47.69,1.83,3.98
19,BMA,84.2,3.0,3.69
20,YPF,37.5,1.33,3.68
21,JBAXY,14.62,0.51,3.61
22,PBR,14.46,0.49,3.51
23,TEO,10.86,0.37,3.53
24,ITUB,5.78,0.19,3.49
