symbol,price,price_change,price_percent_change
HMY,16.28,1.59,10.82
SMMT,20.15,1.92,10.53
GFI,23.38,1.83,8.49
OR,21.84,1.43,7.01
PSMT,91.76,5.97,6.96
AU,38.87,2.45,6.71
ALHC,19.78,1.24,6.69
AGL,5.51,0.33,6.31
ORLA,9.89,0.61,6.52
IAG,6.88,0.37,5.68
AGI,27.99,1.44,5.44
AEM,111.52,5.72,5.41
EGO,18.0,0.91,5.29
LI,22.25,1.11,5.25
SAND,7.6,0.37,5.12
KGC,13.69,0.67,5.15
GDS,20.39,0.96,4.94
FNV,157.43,7.21,4.8
NEM,50.96,2.21,4.52
WPM,77.85,3.23,4.33
ACT,34.84,1.47,4.41
ASND,143.33,5.49,3.98
EQX,6.49,0.24,3.92
RGLD,170.97,6.43,3.91
HL,5.47,0.19,3.6
