symbol,price_percent_change,price,price_change,source,date_time
STSS,70.0,0.0425,0.02,stockanalysis,20250415_0931
YYGH,50.59,1.235,0.41,stockanalysis,20250415_0931
ELPW,47.12,1.53,0.49,stockanalysis,20250415_0931
TMC,45.13,2.83,0.88,stockanalysis,20250415_0931
IMAB,42.98,0.956,0.29,stockanalysis,20250415_0931
MB,41.25,4.52,1.32,stockanalysis,20250415_0931
THRD,39.84,5.09,1.45,stockanalysis,20250415_0931
WXM,39.33,2.48,0.7,stockanalysis,20250415_0931
BW,38.39,0.413,0.11,stockanalysis,20250415_0931
BIYA,38.18,2.28,0.63,stockanalysis,20250415_0931
GGR,35.56,0.315,0.08,stockanalysis,20250415_0931
WGRX,32.53,3.83,0.94,stockanalysis,20250415_0931
LGMK,32.32,0.0131,0.0,stockanalysis,20250415_0931
AREC,32.0,0.635,0.15,stockanalysis,20250415_0931
JNVR,28.76,65.94,14.73,stockanalysis,20250415_0931
TOVX,27.19,1.45,0.31,stockanalysis,20250415_0931
AFMD,27.15,0.791,0.17,stockanalysis,20250415_0931
MTVA,26.9,1.84,0.39,stockanalysis,20250415_0931
PHIO,26.44,2.2,0.46,stockanalysis,20250415_0931
VERV,26.38,4.12,0.86,stockanalysis,20250415_0931
