symbol,price,price_change,price_percent_change
ICCT,4.22,2.15,103.86
TIVC,4.9,1.65,50.77
TCRT,4.13,1.33,47.5
NTHI,9.4,2.4,34.29
LOCL,2.77,0.67,31.8
CGTL,5.41,1.26,30.36
OPOF,36.42,6.51,21.77
NMAX,62.54,10.02,19.07
LZMH,8.88,1.72,24.02
SKBL,11.99,1.63,15.75
VMAR,5.79,0.72,14.2
CLIK,2.62,0.29,12.45
ADTX,5.62,0.62,12.4
GT,10.18,1.06,11.68
FLX,2.5,0.26,11.36
MDCX,3.75,0.35,10.29
LW,59.62,5.47,10.11
VTMX,24.93,2.13,9.34
FORD,4.88,0.4,8.93
OMH,2.42,0.19,8.52
LGPS,3.54,0.27,8.26
TZUP,4.51,0.32,7.64
MOH,353.28,24.8,7.55
NYXH,6.94,0.44,6.82
RIME,2.26,0.14,6.81
INHD,5.18,0.32,6.58
NCT,5.75,0.35,6.48
PAGS,8.5,0.51,6.38
STNE,11.4,0.67,6.24
EPSM,5.26,0.31,6.19
SEPN,5.82,0.33,6.01
ABEO,4.96,0.28,5.88
CNC,64.3,3.57,5.88
DERM,6.59,0.35,5.61
NGG,69.4,3.62,5.5
ELV,452.78,23.45,5.46
POET,4.07,0.2,5.31
SBAC,230.88,11.54,5.26
BDMD,5.78,0.28,5.09
KR,70.69,3.42,5.08
DWTX,4.25,0.2,4.94
FSLR,136.19,6.37,4.91
CELZ,2.24,0.1,4.91
IDR,15.93,0.74,4.87
TEF,4.89,0.22,4.71
DG,94.44,4.24,4.7
AMT,228.14,10.24,4.7
UL,62.56,2.69,4.5
SBS,18.7,0.79,4.38
FCFS,127.42,5.34,4.37
ACTU,7.21,0.3,4.34
CSAN,5.55,0.23,4.29
BMGL,5.4,0.22,4.25
MSEX,66.55,2.68,4.2
CNL,9.46,0.38,4.19
PPC,51.05,2.05,4.18
ELP,7.72,0.31,4.18
BTI,41.93,1.68,4.17
FCEL,4.81,0.19,4.11
GPUS,2.79,0.11,4.1
TU,14.56,0.57,4.07
MASK,3.65,0.14,3.99
AWK,151.95,5.76,3.94
AMX,15.02,0.56,3.91
BKD,6.28,0.23,3.89
BCE,22.66,0.84,3.85
FMS,25.67,0.94,3.79
PM,162.07,5.9,3.78
DBVT,7.99,0.29,3.77
ALHC,18.5,0.65,3.64
GSK,39.0,1.36,3.61
COR,289.36,9.85,3.52
MCK,717.49,23.96,3.45
TIMB,16.51,0.55,3.43
VIV,9.3,0.3,3.39
RGC,24.32,0.79,3.36
UNH,540.76,17.56,3.36
KT,17.88,0.57,3.29
WTRG,40.65,1.26,3.2
TIGO,30.47,0.94,3.18
CCI,107.07,3.26,3.14
BJ,118.57,3.6,3.13
BBD,2.28,0.07,3.08
ITUB,5.7,0.17,3.07
DUK,124.06,3.67,3.05
TBBB,28.08,0.83,3.05
RCI,26.06,0.77,3.04
EBR,7.34,0.21,3.02
GIS,60.95,1.76,2.98
EZPW,15.77,0.45,2.94
CCU,15.6,0.44,2.9
WING,242.78,6.82,2.89
ED,112.73,3.15,2.87
JNJ,159.81,4.45,2.86
VOD,9.38,0.26,2.8
CCEP,89.83,2.42,2.77
SPRY,13.41,0.36,2.76
HLN,10.44,0.28,2.76
EXC,47.22,1.25,2.73
MDLZ,67.94,1.8,2.73
