symbol,price,price_change,price_percent_change
MLGO,11.65,-2.34,16.74
TNXP,29.8,-0.71,2.33
CLSK,8.74,-0.05,0.51
MARA,14.43,-0.18,1.23
IONQ,25.55,-0.57,2.2
AZEK,48.3,-0.26,0.54
ASTS,29.03,-0.26,0.9
OKLO,28.58,-2.33,7.55
W,37.69,-0.17,0.44
COHR,75.26,-1.45,1.89
FNMA,7.1,0.71,11.11
ROOT,174.33,-3.36,1.89
LITE,73.29,-0.34,0.46
CORZ,9.23,-0.08,0.81
HOOD,49.17,0.81,1.67
QXO,13.9,0.1,0.69
BHVN,31.04,2.5,8.76
ZETA,15.6,-0.06,0.38
APP,342.48,2.76,0.81
RDDT,124.25,-0.69,0.55
RNA,32.53,-0.77,2.34
RGTI,9.63,-0.15,1.54
RBRK,74.36,0.9,1.23
CAVA,92.16,1.83,2.03
GLNG,40.7,0.03,0.07
